,Search_for,University_name,State_location
110,Nagpur University,Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
111,Chattisgarh Swami Technical University(CSVTU),CSVTU Bhilai,"Public university in Bhilai, Chhattisgarh"
112,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
113,Shivaji University,"Shivaji University, Kolhapur","University in Kolhapur, Maharashtra"
114,SGBAU,Sant Gadge Baba Amravati University,"University in Amravati, Maharashtra"
115,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
116,University of Mumbai,University of Mumbai,"Public university in Mumbai, Maharashtra"
117,Siksha 'O' Anusandhan University,Siksha 'O' Anusandhan (Deemed to be University),"Deemed university in Bhubaneswar, Odisha"
118,"Rastrasant Tukdoji Maharaj Nagpur University, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University,"Public university in Nagpur, Maharashtra"
119,Savitribai Phule Pune University,Savitribai Phule Pune University,"University in Pune, Maharashtra"
120,Gondwana university,See results about,Founded: 
121,"MGSU, Bikaner",Maharaja Ganga Singh University,"University in Bikaner, Rajasthan"
122,Jawaharlala Nehru Technological University,"Jawaharlal Nehru Technological University, Kakinada","University in Kakinada, Andhra Pradesh"
123,Savitribai phule pune university,Savitribai Phule Pune University,"University in Pune, Maharashtra"
124,Bangalore University,Bangalore University,"Public university in Bengaluru, Karnataka"
125,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
126,NMU Jalgaon,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,"University in Jalgaon, Maharashtra"
127,Mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
128,mumbai university,University of Mumbai,"Public university in Mumbai, Maharashtra"
129,Maulana Abul Kalam Azad University of Technology,"Maulana Abul Kalam Azad University of Technology, West Bengal","University in Kolkata, West Bengal"
130,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
131,Mumbai University,University of Mumbai,"Public university in Mumbai, Maharashtra"
132,KIIT university,Kalinga Institute of Industrial Technology,"Private university in Bhubaneswar, Odisha"
133,Shivaji University,"Shivaji University, Kolhapur","University in Kolhapur, Maharashtra"
134,AKTU,"Dr. A.P.J. Abdul Kalam Technical University, Lucknow",1 day ago
135,Alliance University,Alliance University,"Private university in Anekal, Karnataka"
136,Rani Channamma University,Rani Channamma University Belagavi,"Public university in Godihal, Karnataka"
